Title,Year,Revenue,Rating,Critics ratings,Season,budget,genres,cast_popularity,critics_missing,log_revenue,log_budget,revenue_class
The Moment,2026,5159624,7.0,55.0,winter,4000000.0,"Music, Comedy, Thriller",0.42956513987622497,1,15.456374460398226,15.201805169084134,Low
City Boys: Golden Boyz,2026,4911536,7.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.407097485408807,0.0,Low
Blood Paradise,2026,4856164,6.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.395759589727408,0.0,Low
Mother's Pride,2026,4822144,6.6,39.0,spring,0.0,"Comedy, Drama",0.5897686124540886,0,15.388729407781307,0.0,Low
The Pout-Pout Fish,2026,4751405,5.0,55.0,spring,10000.0,"Animation, Family, Adventure, Comedy",0.8398465395500904,1,15.373951132211467,9.210440366976517,Low
Krasavitsa,2026,4698777,5.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.362813032874428,0.0,Low
Whistle,2026,4665994,5.2,55.0,winter,2000000.0,"Horror, Mystery",0.438870572964929,1,15.355811659981283,14.508658238524095,Low
Santiago: The Camino Therapy,2026,4655161,6.9,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.353487269376691,0.0,Low
The Frog Princess 2,2026,4462696,6.4,55.0,spring,0.0,"Family, Adventure, Fantasy, Comedy",0.3868910584206343,1,15.311263849753903,0.0,Low
Nirvanna: The Band - The Show - The Movie,2026,4384617,8.0,55.0,winter,0.0,Comedy,0.6610730373036245,1,15.293613064828337,0.0,Low
Novaya tyoshcha,2026,4284255,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.270457466000611,0.0,Low
Agata Christian: Crime on the Snow,2026,4268352,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.266738596512203,0.0,Low
Aadu 3,2026,4237300,6.8,55.0,spring,0.0,"Comedy, Fantasy",0.22720588235294117,1,15.259437067916192,0.0,Low
A Room Called Home,2026,4221826,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.255778530710037,0.0,Low
That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,2026,4194798,6.2,55.0,winter,0.0,"Animation, Fantasy, Adventure, Comedy",0.7177673229512085,1,15.24935598255197,0.0,Low
Now I Met Her,2026,4100000,6.4,55.0,spring,0.0,"Family, Comedy, Drama",1.9293020324122534,1,15.226497775576945,0.0,Low
A Gift from Heaven,2026,3958093,5.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.191273154231004,0.0,Low
L'infiltrée,2026,3955702,5.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.190668893072232,0.0,Low
Cold Storage,2026,3947326,6.1,64.0,winter,10000000.0,"Horror, Science Fiction, Comedy",1.1047703161669937,0,15.188549198945756,16.118095750958314,Low
Societies by Accident,2026,3921544,6.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.181996266769834,0.0,Low
We Bury the Dead,2026,3885965,6.4,55.0,winter,0.0,"Horror, Thriller",0.14063338250323557,1,15.172882159524582,0.0,Low
A Place for Her,2026,3863393,7.5,55.0,spring,0.0,Drama,0.531266359005305,1,15.167056629716939,0.0,Low
Pride & Prejudice 2026 Re-release,2026,3811650,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.153572986574442,0.0,Low
Assassination Classroom the Movie: Our Time,2026,3791729,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.148332937290384,0.0,Low
2026 Oscar Nominated Short Films,2026,3754480,7.4,55.0,winter,0.0,Comedy,0.6610730373036245,1,15.138460617915317,0.0,Low
Ein fast perfekter Antrag,2026,3751318,6.2,55.0,winter,0.0,"Drama, Romance",0.4627328427969192,1,15.13761806943626,0.0,Low
Levsha,2026,3610106,5.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.099247969759007,0.0,Low
Game Start,2026,3600000,5.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.096444681204078,0.0,Low
Le crime du 3e étage,2026,3591393,6.5,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.094050985930856,0.0,Low
Abuela Tremenda,2026,3538103,5.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.079101548408335,0.0,Low
The Specials,2026,3522441,6.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.074665057040988,0.0,Low
The Ogre's Bride,2026,3451129,7.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.054212271611144,0.0,Low
Les Légendaires,2026,3210644,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.98198240950099,0.0,Low
Kardes Takimi 3,2026,3157608,5.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.965325653592737,0.0,Low
Kobikicho no Adauchi,2026,3149067,7.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.962617094006886,0.0,Low
Dragoste la tara,2026,3127729,5.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.955818059786251,0.0,Low
Malyshariki. Den rozhdeniya,2026,2989980,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.910777590831628,0.0,Low
Efes'in Sirri,2026,2749796,4.9,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.82703764873624,0.0,Low
Bitter Christmas,2026,2727163,6.5,55.0,spring,0.0,"Drama, Comedy",0.2858319838865263,1,14.818772799366696,0.0,Low
Idols,2026,2720584,5.6,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.816357488676596,0.0,Low
Normal,2026,2678418,6.8,55.0,spring,0.0,"Action, Crime, Thriller",1.2840202818568798,1,14.800737253039468,0.0,Low
Clika,2026,2644377,4.2,55.0,winter,0.0,"Music, Drama",0.23568926649918773,1,14.7879464349394,0.0,Low
Kiki's Delivery Service 2026 Re-release,2026,2601314,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.771527644364332,0.0,Low
Heaven: A Letter to My Mother,2026,2600294,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.771135458093898,0.0,Low
H Is for Hawk,2026,2580059,6.5,55.0,winter,0.0,Drama,1.1917386213741952,1,14.76332321244134,0.0,Low
Psycho Killer,2026,2555070,4.7,26.0,winter,10000000.0,"Crime, Horror, Mystery",0.3026571618441833,0,14.753590569883551,16.118095750958314,Low
Dead Man's Wire,2026,2553308,6.5,55.0,winter,13000000.0,"Crime, Drama, Thriller",0.28019273281538526,1,14.752900722977143,16.380459992348886,Low
Calle Málaga,2026,2502899,7.1,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.732960617558275,0.0,Low
Boulevard,2026,2500000,5.5,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.731801689838349,0.0,Low
2 cuori e 2 capanne,2026,2468613,6.5,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.719167417506542,0.0,Low
Faces of Death,2026,2445357,6.4,63.0,spring,7400000.0,"Horror, Thriller",0.45575600736353455,0,14.709702091440455,15.816990693309524,Low
Chimney Town: Frozen in Time,2026,2439315,6.4,55.0,spring,0.0,"Animation, Drama, Fantasy, Adventure",2.435947273853471,1,14.70722823010133,0.0,Low
Die Ältern,2026,2433697,6.1,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.70492246923587,0.0,Low
Band Together,2026,2422373,6.4,55.0,winter,0.0,"Drama, Music",0.31560216712455236,1,14.700258609010467,0.0,Low
Feels Like Home,2026,2415155,8.0,55.0,winter,0.0,"Drama, Thriller",0.4707407407407407,1,14.697274439255853,0.0,Low
Lavoreremo da grandi,2026,2394150,6.0,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.6885392374635,0.0,Low
Bershama,2026,2378901,7.7,55.0,spring,0.0,Comedy,0.6610730373036245,1,14.682149594657709,0.0,Low
Korol i Shut. Navsegda,2026,2348476,5.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.669277590916026,0.0,Low
Forbidden Fruits,2026,2313022,6.1,56.0,spring,0.0,"Horror, Comedy",0.5343547510899315,0,14.654065884960072,0.0,Low
Korolyok moey lyubvi,2026,2267046,5.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.633988661520014,0.0,Low
Cena di classe,2026,2217829,6.5,55.0,spring,0.0,"Comedy, Drama",0.5149636445981555,1,14.612039798328333,0.0,Low
Rabb Da Radio 3,2026,2199552,6.4,55.0,spring,0.0,"Drama, Romance",1.0666666666666667,1,14.60376471586614,0.0,Low
The Golden K Award,2026,2147654,5.0,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.579887107185858,0.0,Low
Ceux qui comptent,2026,2139088,6.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.575890595427088,0.0,Low
Con Ke Ba Nghe,2026,2131544,7.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.572357626857583,0.0,Low
The Lord of the Rings: The Return of the King 2025 Re-release,2026,2126201,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.569847847481482,0.0,Low
Police Flash 80,2026,2117942,6.5,55.0,spring,0.0,"Comedy, Crime",1.0404305959491795,1,14.565955892600046,0.0,Low
At Work,2026,2106925,6.4,55.0,winter,0.0,Drama,0.3031479229576376,1,14.560740571144414,0.0,Low
Il bene comune,2026,2091770,6.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.55352163354811,0.0,Low
2026 Oscar Nominated Short Films: Animation,2026,2087582,7.4,55.0,winter,0.0,Comedy,0.6610730373036245,1,14.551517495395762,0.0,Low
I Was a Stranger,2026,2070582,6.4,55.0,winter,0.0,"Drama, Thriller",0.40843008309906814,1,14.543340768099823,0.0,Low
Alter Ego,2026,2061169,6.8,55.0,spring,0.0,Comedy,0.8880458789129757,1,14.538784340701914,0.0,Low
"Shinbi's Haunted House: 10th anniversary Movie: One more time, summoning",2026,2057037,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.536777641969566,0.0,Low
Bhooth Bangla,2026,2044260,7.3,55.0,spring,0.0,"Horror, Comedy",1.5546241251894768,1,14.530546912956304,0.0,Low
Border 2,2026,2021266,6.3,55.0,winter,33000000.0,"Action, Drama, War",0.5608099310713441,1,14.519235100475067,17.312018149733785,Low
Prendiamoci una pausa,2026,2016401,6.1,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.516825293056813,0.0,Low
The Snowball on a Sunny Day,2026,2001702,6.7,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.509508876203757,0.0,Low
Maigret in Society,2026,1977495,6.0,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.497341955865895,0.0,Low
Milky Subway: The Galactic Limited Express to the Theater,2026,1974753,6.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.495954391597472,0.0,Low
Enhypen: Walk the Line Summer Edition - In Cinemas,2026,1960970,7.6,55.0,spring,0.0,Comedy,0.6610730373036245,1,14.488950316695856,0.0,Low
BE:the One - Start Beyond Dreams,2026,1960818,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.488872801071574,0.0,Low
BTS WORLD TOUR 'ARIRANG' in JAPAN: LIVE VIEWING,2026,1959824,8.0,55.0,spring,0.0,Comedy,0.6610730373036245,1,14.488365741506207,0.0,Low
Protector,2026,1915215,5.2,55.0,spring,0.0,"Action, Thriller",0.7188516580085539,1,14.46534096796983,0.0,Low
Catli,2026,1893852,3.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.454123936199709,0.0,Low
Hungarian Wedding,2026,1887516,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.450772766687274,0.0,Low
Ooh La La 2,2026,1872620,5.0,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.442849611778419,0.0,Low
Tai,2026,1842992,6.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.426901438489566,0.0,Low
"Furcy, né libre",2026,1805792,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.40651038844973,0.0,Low
O' Romeo,2026,1795940,5.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.401039676525173,0.0,Low
Number One,2026,1784478,6.7,55.0,winter,0.0,"Fantasy, Drama",0.8582361082808401,1,14.394637053840867,0.0,Low
Che Dio perdona a tutti,2026,1782848,6.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.39372320453212,0.0,Low
Sirat 2026 Re-release,2026,1754600,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.377752038606726,0.0,Low
Be Gentle with Yourself,2026,1752070,5.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.376309074771509,0.0,Low
Midwinter Break,2026,1726905,5.9,60.0,winter,4000000.0,Drama,1.1501259348976123,0,14.361841926000682,15.201805169084134,Low
Summer Beats,2026,1695288,6.4,55.0,winter,0.0,Comedy,0.9701939152919613,1,14.343363785737889,0.0,Low
Busboys,2026,1650000,5.1,55.0,spring,0.0,Comedy,0.5776862081354507,1,14.316286451937186,0.0,Low
No Kids,2026,1594768,5.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.282239456126348,0.0,Low
Havfolket,2026,1559785,8.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.260059190328574,0.0,Low
The Camphorwood Custodian,2026,1541438,6.6,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.248226953679751,0.0,Low
Couture,2026,1504128,6.1,55.0,winter,0.0,Drama,0.34597178675512735,1,14.223724551090372,0.0,Low
Balandrau: Where the Fierce Wind Blew,2026,1491771,7.2,55.0,winter,0.0,Drama,0.5165594854918367,1,14.215475233055034,0.0,Low
Hugo,2026,1487175,6.4,55.0,spring,0.0,"Drama, Comedy",0.6848979178725172,1,14.212389577550711,0.0,Low
Scent of Pho,2026,1484326,7.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.21047202884019,0.0,Low
Teenage Mutant Ninja Turtles II: The Secret of the Ooze 2026 Re-release,2026,1476000,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.2048469616491,0.0,Low
Running Man Viet Nam Mua 3: Con Roi Tu Do,2026,1467338,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.19896111427394,0.0,Low
Cats in the Museum: Treasures of Egypt,2026,1454844,7.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.190409923703468,0.0,Low
Giant,2026,1450869,6.7,55.0,winter,0.0,"Drama, History",0.22055018163099666,1,14.187673934468725,0.0,Low
You're Fired,2026,1419051,6.4,55.0,winter,0.0,Comedy,0.27498635518934794,1,14.165499600995766,0.0,Low
"The Day, December 3, 2024 'Fabricated Insurrection, Hidden Truth",2026,1405008,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.155554266423417,0.0,Low
A Little Dream of Me,2026,1373816,7.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.133103555121227,0.0,Low
Saipan,2026,1332464,6.6,55.0,fall,0.0,"Drama, History",0.3751281753751274,1,14.102541168260657,0.0,Low
Mauvaise pioche,2026,1324388,5.9,55.0,unknown,0.0,Comedy,0.6610730373036245,1,14.096461778972895,0.0,Low
